area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Under Construction,Kalyan Nagar,6 BHK,Godrej United,4515,4,1,284.42
Super built-up Area,Immediate Possession,Koramangala 1st Block,4 BHK,Godrej Air,2340,3,0,325.44
Carpet Area,2 Years,Basavanagudi,4 BHK,Sobha Windfall,2093,4,2,160.98
Super built-up Area,6 Months,Domlur,2 BHK,Independent House,1193,1,3,60.97
Carpet Area,1 Year,Varthur,3 BHK,Brigade Gateway,1761,2,2,74.81
Built-up Area,New Launch,Marathahalli,1 BHK,Purva Riviera,427,1,1,20.0
Built-up Area,2 Years,HSR Layout Sector 1,3 BHK,Purva Panorama,1467,2,2,147.52
Plot Area,Immediate Possession,HSR Layout Sector 6,2 BHK,Purva Highlands,1084,1,1,77.82
Carpet Area,Under Construction,HSR Layout Sector 6,4 BHK,Purva Highlands,1939,4,1,126.06
Plot Area,1 Year,Kundanhalli,4 BHK,Godrej Air,2358,3,3,161.54
Super built-up Area,New Launch,Koramangala 7th Block,4 BHK,Independent House,2080,4,2,196.22
Plot Area,Immediate Possession,Bellandur,4 BHK,Sobha City,2279,4,3,383.99
Carpet Area,Ready To Move,Brookefield,2 BHK,Mantri Espana,981,1,2,78.82
Super built-up Area,Immediate Possession,Thanisandra,1 BHK,Purva Riviera,609,1,0,27.95
Plot Area,6 Months,HSR Layout Sector 1,2 BHK,Brigade Gateway,1020,2,1,172.83
Super built-up Area,2 Years,Hennur,4 BHK,Mantri Webcity,2269,4,1,223.93
Built-up Area,Ready To Move,Domlur,2 BHK,Embassy Boulevard,1161,1,1,146.44
Built-up Area,New Launch,Hennur,3 BHK,Embassy Lake Terraces,1567,2,2,105.8
Plot Area,2 Years,KR Puram,1 BHK,Mantri Webcity,697,1,2,73.68
Carpet Area,Ready To Move,HSR Layout Sector 6,2 BHK,Mantri Webcity,1207,2,1,44.6
Plot Area,New Launch,Koramangala 5th Block,3 BHK,Prestige Golfshire,1677,2,1,182.47
Super built-up Area,6 Months,Hoodi,4 BHK,Brigade Gateway,2345,3,2,206.27
Plot Area,Under Construction,Bellandur,4 BHK,Mantri Espana,2568,3,1,179.57
Plot Area,1 Year,Koramangala 5th Block,4 BHK,Mantri Webcity,2547,3,2,307.15
Super built-up Area,1 Year,BTM Layout 2nd Stage,6 BHK,Godrej United,4711,5,2,405.66
Carpet Area,New Launch,Electronic City,3 BHK,Godrej Aqua,1678,2,2,92.79
Plot Area,Under Construction,Hoodi,3 BHK,Salarpuria Greenage,1347,2,2,101.96
Super built-up Area,New Launch,Hebbal,3 BHK,Salarpuria Sattva,1651,3,2,96.2
Carpet Area,2 Years,BTM Layout 2nd Stage,1 BHK,Prestige Lakeside Habitat,655,1,3,26.28
Built-up Area,Under Construction,Hebbal,4 BHK,Sobha Windfall,2230,2,1,250.76
Plot Area,New Launch,Koramangala,3 BHK,Embassy Boulevard,1531,1,2,100.91
Carpet Area,2 Years,HSR Layout Sector 2,4 BHK,Purva Highlands,2403,3,0,149.63
Built-up Area,New Launch,Koramangala 4th Block,5 BHK,Salarpuria Divinity,2888,4,1,196.01
Plot Area,Immediate Possession,Brookefield,6 BHK,Sobha Dream Acres,4595,4,1,715.6
Plot Area,Under Construction,Domlur,4 BHK,Purva Riviera,2060,3,1,271.18
Super built-up Area,1 Year,Yelahanka,4 BHK,Salarpuria Divinity,2653,3,0,161.47
Super built-up Area,1 Year,Koramangala 5th Block,3 BHK,Builder Floor,1617,3,2,170.44
Super built-up Area,2 Years,Bommanahalli,4 BHK,Sobha Windfall,2642,3,2,228.23
Built-up Area,2 Years,Hennur,3 BHK,Godrej United,1749,3,2,78.38
Plot Area,New Launch,Basavanagudi,3 BHK,Brigade Millennium,1797,1,1,98.28
Plot Area,6 Months,Indiranagar,2 BHK,Embassy Lake Terraces,1148,1,2,70.4
Super built-up Area,New Launch,KR Puram,3 BHK,Salarpuria Greenage,1847,3,2,82.68
Super built-up Area,2 Years,Kadugodi,4 BHK,Mantri Webcity,2640,3,2,82.85
Super built-up Area,New Launch,Bannerghatta Road,3 BHK,Salarpuria Divinity,1451,2,0,66.95
Plot Area,Immediate Possession,Vijayanagar,2 BHK,Prestige Shantiniketan,1203,2,2,93.68
Carpet Area,Under Construction,Electronic City,3 BHK,Brigade Gateway,1529,1,1,80.9
Carpet Area,Under Construction,Sarjapur Road,3 BHK,Godrej Air,1720,3,1,106.14
Built-up Area,Immediate Possession,Indiranagar,4 BHK,Mantri Alpyne,2460,4,2,262.94
Plot Area,6 Months,Sarjapur Road,2 BHK,Standalone Villa,1136,2,1,90.91
Built-up Area,1 Year,HSR Layout Sector 6,3 BHK,Brigade Gateway,1493,2,2,108.87
Super built-up Area,6 Months,Kalyan Nagar,1 BHK,Salarpuria Misty Charm,607,1,1,27.76
Plot Area,Under Construction,Koramangala 6th Block,1 BHK,Mantri Espana,581,1,2,59.95
Super built-up Area,Immediate Possession,BTM Layout,5 BHK,Salarpuria Divinity,3223,5,1,249.21
Plot Area,New Launch,HSR Layout Sector 6,2 BHK,Prestige Golfshire,975,2,2,88.13
Super built-up Area,New Launch,Varthur,3 BHK,Embassy Boulevard,1492,3,1,66.26
Carpet Area,Under Construction,Koramangala 7th Block,4 BHK,Sobha City,2238,3,2,113.23
Carpet Area,2 Years,Koramangala 4th Block,4 BHK,Godrej Aqua,2341,2,2,226.34
Plot Area,1 Year,Basaveshwara Nagar,3 BHK,Godrej Aqua,1611,2,1,181.34
Plot Area,Ready To Move,BTM Layout,3 BHK,Sobha Dream Acres,1836,2,2,114.03
Built-up Area,Ready To Move,Koramangala,4 BHK,Purva Fountain Square,2254,3,1,182.72
Plot Area,2 Years,Domlur,2 BHK,Standalone Villa,1216,1,2,98.62
Super built-up Area,2 Years,Yelahanka,4 BHK,Purva Riviera,2350,3,3,106.29
Super built-up Area,2 Years,Varthur,6 BHK,Mantri Webcity,4725,5,3,252.1
Carpet Area,Immediate Possession,Sarjapur Road,2 BHK,Brigade Cosmopolis,1400,1,2,77.12
Carpet Area,Under Construction,KR Puram,4 BHK,Embassy Pristine,2034,2,2,122.43
Carpet Area,2 Years,Brookefield,4 BHK,Mantri Espana,2616,2,1,199.28
Plot Area,6 Months,HSR Layout,2 BHK,Godrej Aqua,1198,1,1,139.74
Super built-up Area,Ready To Move,Kadugodi,2 BHK,Purva Fountain Square,1060,1,3,47.43
Plot Area,6 Months,Bellandur,3 BHK,Godrej United,1502,2,3,155.98
Plot Area,New Launch,Basaveshwara Nagar,5 BHK,Purva Highlands,3603,5,1,203.53
Carpet Area,6 Months,Nagarbhavi,4 BHK,Godrej United,2162,3,0,116.85
Super built-up Area,Ready To Move,HSR Layout Sector 6,4 BHK,Brigade Cosmopolis,2918,3,3,290.79
Built-up Area,Ready To Move,Domlur,2 BHK,Brigade Gateway,1127,1,2,101.28
Built-up Area,Ready To Move,Koramangala,3 BHK,Embassy Boulevard,1752,2,2,88.17
Plot Area,6 Months,Brookefield,3 BHK,Sobha City,1534,2,1,199.33
Plot Area,New Launch,Banashankari,2 BHK,Embassy Lake Terraces,1155,1,1,61.35
Built-up Area,6 Months,BTM Layout,3 BHK,Embassy Lake Terraces,1702,1,2,195.77
Carpet Area,Under Construction,Kadugodi,3 BHK,Embassy Springs,1542,3,3,50.48
Built-up Area,Immediate Possession,Kengeri Satellite Town,4 BHK,Builder Floor,2639,2,0,80.75
Super built-up Area,New Launch,Koramangala 5th Block,2 BHK,Prestige Golfshire,1074,1,2,110.11
Carpet Area,1 Year,JP Nagar,4 BHK,Embassy Pristine,2013,3,1,139.71
Built-up Area,2 Years,Sarjapur Road,4 BHK,Purva Panorama,2436,2,2,233.71
Plot Area,Ready To Move,Rajajinagar,2 BHK,Purva Fountain Square,1127,1,2,131.31
Super built-up Area,6 Months,Vijayanagar,3 BHK,Standalone Villa,1470,2,3,60.28
Built-up Area,1 Year,Bellandur,5 BHK,Godrej Aqua,3203,4,0,197.32
Built-up Area,Ready To Move,Domlur,2 BHK,Purva Riviera,1119,1,3,115.8
Plot Area,Ready To Move,Malleshwaram,4 BHK,Embassy Lake Terraces,2578,3,1,285.51
Built-up Area,6 Months,Thanisandra,2 BHK,Mantri Espana,1284,2,1,60.11
Plot Area,1 Year,Bellandur,3 BHK,Salarpuria Divinity,1386,1,1,185.47
Super built-up Area,Under Construction,Banaswadi,4 BHK,Purva Fountain Square,2742,4,1,154.56
Plot Area,1 Year,Hennur,4 BHK,Builder Floor,2417,3,3,149.17
Built-up Area,2 Years,Bannerghatta Road,2 BHK,Prestige Lakeside Habitat,1216,1,2,46.45
Super built-up Area,2 Years,Domlur,2 BHK,Embassy Springs,1127,1,2,133.78
Built-up Area,Under Construction,Bellandur,3 BHK,Purva Fountain Square,1733,2,1,79.11
Carpet Area,2 Years,Varthur,4 BHK,Mantri Espana,2577,3,1,170.13
Carpet Area,Under Construction,Jayanagar,3 BHK,Godrej Air,1775,3,2,110.93
Built-up Area,6 Months,Domlur,2 BHK,Brigade Gateway,1074,1,2,46.98
Carpet Area,2 Years,BTM Layout 2nd Stage,4 BHK,Sobha City,2510,4,2,139.2
Super built-up Area,1 Year,HSR Layout,2 BHK,Prestige Golfshire,1056,1,0,45.48
Plot Area,6 Months,Koramangala 6th Block,5 BHK,Brigade Millennium,3077,3,1,209.15
Carpet Area,1 Year,HSR Layout Sector 6,3 BHK,Godrej Air,1481,1,2,78.66
Plot Area,New Launch,Malleshwaram,4 BHK,Mantri Alpyne,2250,4,2,119.36
Super built-up Area,Under Construction,Basaveshwara Nagar,5 BHK,Purva Highlands,3055,3,2,223.31
Plot Area,Under Construction,Kundanhalli,3 BHK,Mantri Webcity,1494,2,3,166.42
Carpet Area,1 Year,Kadugodi,6 BHK,Salarpuria Misty Charm,4584,4,1,169.32
Carpet Area,6 Months,Bannerghatta Road,5 BHK,Row House,2854,5,2,85.82
Built-up Area,Immediate Possession,Kadugodi,4 BHK,Embassy Springs,2429,3,2,111.63
Built-up Area,Under Construction,Hennur,3 BHK,Salarpuria Sattva,1481,3,1,63.33
Plot Area,2 Years,Bommanahalli,4 BHK,Sobha Silicon Oaks,2502,3,2,168.06
Carpet Area,6 Months,Yeshwanthpur,3 BHK,Purva Fountain Square,1788,2,0,125.39
Plot Area,6 Months,Yeshwanthpur,3 BHK,Mantri Alpyne,1651,1,1,135.1
Plot Area,Ready To Move,Bellandur,1 BHK,Mantri Espana,607,1,1,43.49
Plot Area,Under Construction,Domlur,3 BHK,Mantri Serenity,1339,2,2,182.34
Super built-up Area,New Launch,Indiranagar,4 BHK,Embassy Pristine,2485,2,1,174.18
Super built-up Area,2 Years,Bommanahalli,3 BHK,Salarpuria Sattva,1565,1,2,164.86
Carpet Area,1 Year,Bannerghatta Road,5 BHK,Embassy Lake Terraces,3315,3,1,190.93
Super built-up Area,Immediate Possession,Brookefield,3 BHK,Godrej Eternity,1811,2,2,166.52
Carpet Area,Ready To Move,Brookefield,3 BHK,Prestige Song of the South,1545,1,1,102.83
Carpet Area,2 Years,Koramangala 5th Block,2 BHK,Embassy Springs,1105,1,2,85.26
Plot Area,New Launch,Marathahalli,3 BHK,Mantri Webcity,1572,2,1,156.38
Built-up Area,6 Months,Hebbal,3 BHK,Independent House,1852,1,1,110.02
Super built-up Area,Ready To Move,Domlur,3 BHK,Sobha City,1598,2,3,142.95
Carpet Area,2 Years,Vijayanagar,1 BHK,Salarpuria Divinity,527,1,0,24.69
Built-up Area,New Launch,Hebbal,2 BHK,Purva Fountain Square,1260,1,3,89.55
Carpet Area,6 Months,Ramamurthy Nagar,3 BHK,Mantri Webcity,1395,1,1,28.11
Carpet Area,Immediate Possession,Vijayanagar,3 BHK,Brigade Millennium,1619,2,2,124.69
Super built-up Area,Immediate Possession,Hoodi,3 BHK,Godrej Air,1458,3,1,70.43
Plot Area,New Launch,HSR Layout Sector 1,2 BHK,Salarpuria Greenage,1053,2,3,50.78
Plot Area,Under Construction,Koramangala 7th Block,3 BHK,Builder Floor,1577,1,2,74.13
Built-up Area,Ready To Move,Hebbal,6 BHK,Embassy Springs,4631,5,3,669.58
Plot Area,New Launch,Electronic City,3 BHK,Sobha Silicon Oaks,1540,2,0,65.93
Built-up Area,Immediate Possession,Banaswadi,2 BHK,Independent House,950,1,3,58.22
Super built-up Area,1 Year,Kengeri Satellite Town,3 BHK,Prestige Lakeside Habitat,1552,2,2,90.83
Carpet Area,1 Year,Koramangala 5th Block,5 BHK,Salarpuria Divinity,3158,3,1,352.14
Built-up Area,Immediate Possession,Kadugodi,3 BHK,Standalone Villa,1634,2,1,113.63
Carpet Area,1 Year,Koramangala 4th Block,4 BHK,Prestige Golfshire,2269,2,1,149.54
Built-up Area,New Launch,Jayanagar,3 BHK,Row House,1759,2,2,127.11
Carpet Area,2 Years,Basavanagudi,2 BHK,Sobha Dream Acres,1109,1,1,83.12
Plot Area,New Launch,Basaveshwara Nagar,4 BHK,Salarpuria Divinity,2373,3,2,270.71
Carpet Area,New Launch,Koramangala 5th Block,1 BHK,Embassy Springs,613,1,1,64.36
Carpet Area,2 Years,Ramamurthy Nagar,4 BHK,Brigade Gateway,2318,3,1,77.54
Carpet Area,1 Year,Koramangala,2 BHK,Mantri Espana,1186,1,3,141.98
Carpet Area,1 Year,Hennur,2 BHK,Salarpuria Divinity,1152,1,1,73.94
Carpet Area,6 Months,Jayanagar,4 BHK,Brigade Orchards,2551,3,2,266.5
Built-up Area,Under Construction,Marathahalli,2 BHK,Godrej Eternity,1018,1,1,50.34
Built-up Area,Ready To Move,HSR Layout Sector 6,3 BHK,Salarpuria Sattva,1581,1,1,67.28
Plot Area,Ready To Move,Hoodi,2 BHK,Prestige Lakeside Habitat,1246,2,2,79.76
Built-up Area,Immediate Possession,Koramangala 5th Block,2 BHK,Salarpuria Divinity,1024,1,1,124.56
Built-up Area,2 Years,BTM Layout 1st Stage,3 BHK,Sobha Dream Acres,1395,2,2,106.44
Super built-up Area,2 Years,Bommanahalli,3 BHK,Mantri Espana,1637,2,2,57.76
Super built-up Area,Under Construction,Koramangala 4th Block,3 BHK,Sobha Silicon Oaks,1513,2,2,187.31
Plot Area,2 Years,Koramangala,4 BHK,Embassy Pristine,2205,3,2,497.67
Carpet Area,Ready To Move,Kengeri Satellite Town,2 BHK,Prestige Shantiniketan,1026,1,1,49.92
Super built-up Area,New Launch,Koramangala 6th Block,3 BHK,Sobha Dream Acres,1545,1,0,113.57
Plot Area,Under Construction,BTM Layout 1st Stage,1 BHK,Independent House,558,1,1,42.88
Built-up Area,2 Years,Kengeri,4 BHK,Embassy Springs,2431,3,0,134.52
Plot Area,1 Year,Yeshwanthpur,3 BHK,Prestige Golfshire,1564,2,1,84.1
Carpet Area,2 Years,Whitefield,4 BHK,Sobha Dream Acres,2575,3,3,206.54
Plot Area,2 Years,Rajajinagar,3 BHK,Godrej United,1591,2,1,292.84
Plot Area,1 Year,HSR Layout,1 BHK,Salarpuria Sattva,662,1,1,92.43
Plot Area,New Launch,Bannerghatta Road,5 BHK,Embassy Boulevard,2986,5,1,276.67
Plot Area,Under Construction,Yelahanka,1 BHK,Purva Highlands,680,1,1,36.63
Carpet Area,6 Months,Hoodi,3 BHK,Prestige Shantiniketan,1408,2,1,68.91
Carpet Area,1 Year,BTM Layout 1st Stage,4 BHK,Embassy Boulevard,2370,4,1,200.15
Super built-up Area,Immediate Possession,BTM Layout 2nd Stage,2 BHK,Godrej Air,1063,1,3,150.51
Carpet Area,1 Year,Ramamurthy Nagar,3 BHK,Embassy Springs,1457,2,1,67.68
Built-up Area,Under Construction,Brookefield,4 BHK,Prestige Lakeside Habitat,2615,2,1,89.92
Plot Area,1 Year,Hebbal,4 BHK,Embassy Lake Terraces,2528,2,1,192.11
Plot Area,2 Years,Basaveshwara Nagar,2 BHK,Standalone Villa,926,1,2,80.68
Super built-up Area,6 Months,Malleshwaram,3 BHK,Purva Highlands,1467,2,1,305.8
Super built-up Area,Ready To Move,BTM Layout,1 BHK,Row House,636,1,2,43.03
Built-up Area,Under Construction,Koramangala 6th Block,4 BHK,Purva Fountain Square,2623,2,2,273.75
Built-up Area,1 Year,Sarjapur Road,2 BHK,Embassy Pristine,1076,2,1,74.96
Plot Area,2 Years,Domlur,3 BHK,Godrej Eternity,1807,1,1,212.39
Plot Area,Immediate Possession,Bannerghatta Road,4 BHK,Godrej Eternity,2534,2,1,189.39
Carpet Area,1 Year,Banashankari,2 BHK,Brigade Millennium,1017,1,1,47.28
Super built-up Area,1 Year,Yelahanka,4 BHK,Mantri Serenity,2261,4,3,132.74
Plot Area,New Launch,Koramangala,5 BHK,Purva Panorama,3308,5,0,209.03
Plot Area,Ready To Move,BTM Layout,2 BHK,Sobha Dream Acres,1134,1,2,60.71
Built-up Area,2 Years,Rajajinagar,4 BHK,Sobha Silicon Oaks,2449,3,2,279.43
Plot Area,2 Years,KR Puram,2 BHK,Prestige Song of the South,1164,1,1,77.74
Built-up Area,1 Year,HSR Layout,4 BHK,Salarpuria Misty Charm,2385,4,0,185.37
Plot Area,6 Months,Rajajinagar,2 BHK,Prestige Lakeside Habitat,1104,1,1,146.52
Super built-up Area,New Launch,Whitefield,2 BHK,Mantri Alpyne,1101,1,1,72.0
Plot Area,2 Years,Koramangala 4th Block,3 BHK,Salarpuria Greenage,1525,2,1,167.42
Carpet Area,Under Construction,Thanisandra,1 BHK,Brigade Orchards,582,1,2,20.0
Super built-up Area,Ready To Move,Nagarbhavi,5 BHK,Sobha Silicon Oaks,3262,5,1,315.61
Built-up Area,Ready To Move,Malleshwaram,2 BHK,Salarpuria Sattva,964,2,2,106.28
Super built-up Area,Under Construction,Hennur,4 BHK,Sobha City,2383,2,2,88.85
Built-up Area,6 Months,Hennur,4 BHK,Mantri Serenity,2141,4,1,196.88
Carpet Area,Under Construction,Bannerghatta Road,3 BHK,Purva Fountain Square,1682,2,1,62.16
Carpet Area,Under Construction,Malleshwaram,3 BHK,Builder Floor,1681,2,2,112.2
Carpet Area,New Launch,Banaswadi,3 BHK,Godrej Eternity,1597,2,2,55.28
Plot Area,6 Months,HSR Layout Sector 6,3 BHK,Embassy Pristine,1514,3,3,130.27
Plot Area,2 Years,Varthur,3 BHK,Builder Floor,1633,2,3,96.66
Plot Area,Immediate Possession,Basaveshwara Nagar,4 BHK,Brigade Gateway,2602,3,1,133.72
Built-up Area,2 Years,KR Puram,4 BHK,Standalone Villa,2258,2,3,107.56
Built-up Area,New Launch,Malleshwaram,2 BHK,Brigade Gateway,1005,1,0,72.4
Plot Area,Immediate Possession,Indiranagar,5 BHK,Row House,2865,4,2,797.29
Built-up Area,New Launch,KR Puram,2 BHK,Mantri Serenity,1110,1,1,52.16
Super built-up Area,Immediate Possession,BTM Layout 1st Stage,4 BHK,Embassy Lake Terraces,2328,4,1,94.08
Built-up Area,Ready To Move,Koramangala 4th Block,3 BHK,Brigade Orchards,1648,1,3,95.09
Super built-up Area,2 Years,Banashankari,4 BHK,Purva Panorama,2304,3,2,257.14
Built-up Area,Immediate Possession,Koramangala 7th Block,2 BHK,Mantri Serenity,1219,1,3,54.36
Super built-up Area,Under Construction,Bellandur,3 BHK,Purva Riviera,1692,3,0,59.86
Plot Area,Under Construction,Kengeri Satellite Town,2 BHK,Mantri Serenity,991,1,0,51.14
Carpet Area,2 Years,Malleshwaram,4 BHK,Sobha Dream Acres,2350,2,1,325.3
Carpet Area,New Launch,Thanisandra,4 BHK,Prestige Golfshire,2204,3,1,109.44
Plot Area,Immediate Possession,Domlur,4 BHK,Salarpuria Sattva,2692,2,2,157.68
Built-up Area,New Launch,Kadugodi,4 BHK,Purva Fountain Square,2238,2,1,146.82
Built-up Area,1 Year,Koramangala,5 BHK,Brigade Gateway,2853,5,2,387.7
Plot Area,New Launch,Yelahanka,3 BHK,Brigade Gateway,1633,2,2,102.2
Built-up Area,Immediate Possession,Hoodi,4 BHK,Embassy Boulevard,2616,2,1,232.92
Carpet Area,New Launch,Koramangala 5th Block,4 BHK,Embassy Pristine,2500,2,3,242.44
Built-up Area,1 Year,Thanisandra,2 BHK,Salarpuria Misty Charm,970,1,3,29.17
Plot Area,Under Construction,Bannerghatta Road,4 BHK,Standalone Villa,2556,4,2,177.83
Super built-up Area,2 Years,Koramangala 1st Block,3 BHK,Purva Panorama,1661,3,2,166.88
Plot Area,Under Construction,Whitefield,4 BHK,Salarpuria Greenage,2386,4,0,90.19
Built-up Area,Ready To Move,Vijayanagar,4 BHK,Mantri Serenity,2439,2,3,262.99
Super built-up Area,6 Months,Brookefield,4 BHK,Salarpuria Divinity,2268,2,3,214.59
Super built-up Area,6 Months,Electronic City,3 BHK,Row House,1467,1,3,79.79
Super built-up Area,6 Months,Whitefield,2 BHK,Brigade Orchards,1014,1,3,104.87
Plot Area,2 Years,Electronic City,2 BHK,Godrej Aqua,1211,2,2,126.63
Built-up Area,Under Construction,Marathahalli,3 BHK,Purva Riviera,1619,2,1,51.63
Carpet Area,2 Years,Varthur,3 BHK,Brigade Cosmopolis,1762,3,1,59.73
Plot Area,Immediate Possession,Brookefield,4 BHK,Embassy Boulevard,2059,3,1,174.09
Super built-up Area,1 Year,Bellandur,5 BHK,Sobha City,3597,5,2,462.97
Plot Area,Immediate Possession,Ramamurthy Nagar,4 BHK,Row House,2135,2,1,85.61
Super built-up Area,1 Year,Indiranagar,3 BHK,Sobha Windfall,1423,3,3,170.69
Plot Area,1 Year,Mahadevapura,4 BHK,Mantri Webcity,2215,4,2,94.82
Super built-up Area,Under Construction,Koramangala 1st Block,3 BHK,Mantri Serenity,1490,1,1,119.46
Super built-up Area,Ready To Move,Kengeri,4 BHK,Brigade Orchards,2199,4,3,94.23
Carpet Area,Ready To Move,Rajajinagar,2 BHK,Mantri Serenity,1092,1,0,95.48
Plot Area,Ready To Move,Vijayanagar,3 BHK,Godrej Air,1779,2,1,174.66
Built-up Area,6 Months,Koramangala 6th Block,4 BHK,Prestige Song of the South,2085,3,1,303.58
Built-up Area,2 Years,KR Puram,5 BHK,Mantri Espana,3318,4,1,252.22
Super built-up Area,Immediate Possession,Indiranagar,2 BHK,Salarpuria Greenage,1266,2,2,175.14
Plot Area,2 Years,Hoodi,3 BHK,Purva Fountain Square,1594,3,1,143.8
Carpet Area,2 Years,HSR Layout Sector 6,3 BHK,Purva Highlands,1549,1,2,124.29
Carpet Area,6 Months,Basavanagudi,2 BHK,Prestige Song of the South,1083,1,2,80.69
Plot Area,Ready To Move,Rajajinagar,2 BHK,Sobha Dream Acres,1268,1,0,120.79
Super built-up Area,Ready To Move,Vijayanagar,3 BHK,Brigade Orchards,1784,2,1,120.99
Built-up Area,1 Year,KR Puram,2 BHK,Prestige Song of the South,1136,1,0,67.23
Super built-up Area,Ready To Move,Brookefield,2 BHK,Prestige Shantiniketan,1031,1,1,76.64
Carpet Area,2 Years,Hennur,4 BHK,Brigade Orchards,2723,4,0,201.13
Super built-up Area,Under Construction,Bannerghatta Road,5 BHK,Godrej United,3368,3,2,212.73
Plot Area,Ready To Move,Koramangala 5th Block,4 BHK,Brigade Millennium,2431,4,0,559.69
Super built-up Area,6 Months,Varthur,3 BHK,Purva Fountain Square,1572,1,2,63.0
Carpet Area,Immediate Possession,Whitefield,4 BHK,Prestige Song of the South,2621,4,1,174.61
Built-up Area,6 Months,Nagarbhavi,4 BHK,Builder Floor,2539,3,1,231.7
Plot Area,Under Construction,Banashankari,5 BHK,Prestige Lakeside Habitat,3130,4,0,128.62
Carpet Area,Immediate Possession,Bellandur,2 BHK,Brigade Gateway,908,2,1,58.35
Plot Area,New Launch,Yeshwanthpur,4 BHK,Sobha Silicon Oaks,2260,3,1,138.38
Super built-up Area,New Launch,Kundanhalli,4 BHK,Prestige Golfshire,2468,3,2,127.19
Plot Area,6 Months,Nagarbhavi,3 BHK,Purva Riviera,1613,1,2,48.35
Built-up Area,New Launch,Marathahalli,4 BHK,Prestige Shantiniketan,2136,2,2,136.73
Plot Area,2 Years,Hoodi,5 BHK,Mantri Webcity,2964,3,2,131.88
Plot Area,2 Years,Hoodi,3 BHK,Prestige Lakeside Habitat,1486,2,2,123.21
Built-up Area,Immediate Possession,Kadugodi,4 BHK,Purva Fountain Square,2435,3,2,183.95
Carpet Area,New Launch,Ramamurthy Nagar,2 BHK,Embassy Pristine,987,1,2,39.0
Plot Area,New Launch,Kadugodi,2 BHK,Brigade Cosmopolis,1111,1,1,91.6
Built-up Area,6 Months,Sarjapur Road,2 BHK,Standalone Villa,974,1,1,119.13
Super built-up Area,1 Year,Banashankari,2 BHK,Mantri Alpyne,1085,1,1,69.11
Carpet Area,2 Years,Hennur,3 BHK,Purva Panorama,1878,1,1,159.71
Plot Area,Under Construction,Banashankari,4 BHK,Godrej Air,2400,3,1,110.32
Built-up Area,1 Year,Yelahanka,3 BHK,Godrej United,1723,1,1,62.36
Plot Area,6 Months,BTM Layout,3 BHK,Salarpuria Divinity,1658,1,1,118.6
Plot Area,6 Months,Koramangala 4th Block,2 BHK,Sobha City,1077,1,2,120.9
Super built-up Area,Ready To Move,Basaveshwara Nagar,4 BHK,Embassy Boulevard,2391,3,2,183.96
Super built-up Area,6 Months,Yeshwanthpur,2 BHK,Brigade Cosmopolis,1200,1,0,101.81
Super built-up Area,Ready To Move,Kalyan Nagar,4 BHK,Salarpuria Sattva,2472,3,1,253.87
Built-up Area,Immediate Possession,Basavanagudi,3 BHK,Embassy Lake Terraces,1517,1,1,93.99
Built-up Area,New Launch,Thanisandra,3 BHK,Brigade Millennium,1563,1,2,83.66
Carpet Area,Immediate Possession,Marathahalli,3 BHK,Mantri Espana,1628,3,2,47.93
Built-up Area,New Launch,Nagarbhavi,2 BHK,Godrej Air,975,1,0,21.42
Built-up Area,6 Months,Thanisandra,4 BHK,Salarpuria Divinity,1959,3,2,112.96
Super built-up Area,Immediate Possession,Kundanhalli,3 BHK,Purva Highlands,1636,2,0,178.33
Carpet Area,Ready To Move,BTM Layout,4 BHK,Embassy Springs,2691,4,2,227.5
Super built-up Area,1 Year,Hoodi,2 BHK,Sobha Windfall,1207,1,2,114.9
